record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,is_parenthesized,mass_number_uncertain,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,Qalpha_estimated,Qalpha_is_experimental,qalpha_estimated_used,Qalpha_qualifier,T_alpha_half_s,T_alpha_half_err_plus_s,T_alpha_half_err_minus_s,T_alpha_half_qualifier,T_half_s,b_alpha_percent,b_SF_percent,T_SF_half_s,decay_modes_raw,alpha_daughter,alpha_daughter_population_raw,partial_half_life_reconstructed_s,partial_half_life_consistent,nonexperimental_fields,eligible_for_hf,calculation_status,cell_record_index,cell_record_count,duplicate_nz_cell,l_assumed
source-row-0002,2,240Es,,Es,240,99,141,False,False,8.26,,0.06,False,True,False,,8.57142857143,2.42857142857,2.42857142857,,6,70,,,"alpha, EC, SF",,,8.57142857143,True,Jpi,True,ok,1,1,False,0
source-row-0003,3,241Es,,Es,241,99,142,False,False,8.259,,0.017,False,True,False,,4.3,2.4,1.2,,4.3,100,,,"alpha, EC",,,4.3,True,Jpi,True,ok,1,1,False,0
source-row-0004,4,242Es,,Es,242,99,143,False,False,8.16,,0.02,False,True,False,,31.2280701754,2.80701754386,2.80701754386,,17.8,57,,,"alpha, EC",,,31.2280701754,True,Jpi,True,ok,1,1,False,0
source-row-0005,5,243Es,,Es,243,99,144,False,False,8.072,,0.01,False,True,False,,36.0655737705,1.6393442623,1.6393442623,,22,61,1,2200,"alpha, EC, SF",,,36.0655737705,True,,True,ok,1,1,False,0
source-row-0006,6,244Es,,Es,244,99,145,False,False,7.94,,0.1,True,False,True,,925,100,100,,37,4,,,"alpha, EC",,,925,True,Qalpha;Jpi,True,ok,1,1,False,0
source-row-0007,7,245Es,,Es,245,99,146,False,False,7.909,,0.003,False,True,False,,124.444444444,6.66666666667,6.66666666667,,67.2,54,,,"alpha, EC",,,124.444444444,True,,True,ok,1,1,False,0
source-row-0008,8,246Es,,Es,246,99,147,False,False,7.64,,0.1,True,False,True,,4545.45454545,303.03030303,303.03030303,,450,9.9,,,"alpha, EC",,,4545.45454545,True,Qalpha;Jpi,True,ok,1,1,False,0
source-row-0009,9,247Es,,Es,247,99,148,False,False,7.464,,0.02,False,True,False,,3900,222.857142857,222.857142857,,273,7,,,"alpha, EC",,,3900,True,,True,ok,1,1,False,0
source-row-0010,10,248Es,,Es,248,99,149,False,False,7.16,,0.05,True,False,True,,480000,40000,40000,,1440,0.3,,,"alpha, EC",,,480000,True,Qalpha,True,ok,1,1,False,0
source-row-0011,11,249Es,,Es,249,99,150,False,False,6.94,,0.03,True,False,True,,1075789.47368,6315.78947368,6315.78947368,,6132,0.57,,,"alpha, EC",,,1075789.47368,True,Qalpha,True,ok,1,1,False,0
source-row-0012,12,250Es,,Es,250,99,151,False,False,6.83,,0.12,True,False,True,,,,,,516,,,,"alpha, EC",,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0013,13,251Es,,Es,251,99,152,False,False,6.5971,,0.001,False,True,False,,23760000,9531233.70818,9531233.70818,,118800,0.5,,,"EC, alpha",,,23760000,True,,True,ok,1,1,False,0
source-row-0014,14,252Es,,Es,252,99,153,False,False,6.7386,,0.0005,False,True,False,,46268307.6923,210461.538462,210461.538462,,36089280,78,,,"alpha, EC",,,46268307.6923,True,,True,ok,1,1,False,0
source-row-0015,15,253Es,,Es,253,99,154,False,False,6.73924,,5e-05,False,True,False,,1768608,1728,1728,,1768608,100,,,"alpha, EC; beta^-, SF",,,1768608,True,,True,ok,1,1,False,0
source-row-0016,16,254Es,,Es,254,99,155,False,False,6.6172,,0.0005,False,True,False,,23820480,43200,43200,,23820480,100,3e-06,7.94016e+14,"alpha,; beta^-, SF; beta^-, SF",,,23820480,True,,True,ok,1,1,False,0
source-row-0017,17,255Es,,Es,255,99,156,False,False,6.4363,,0.0013,False,True,False,,42984000,2509716.44613,2509716.44613,,3438720,8,0.0041,83871219512.2,"beta^-, alpha, SF",,,42984000,True,,True,ok,1,1,False,0
source-row-0018,18,256Es,,Es,256,99,157,False,False,6.23,,0.22,True,False,True,,,,,,1524,,,,beta^-,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0019,19,257Es,,Es,257,99,158,False,False,6.05,,0.2,True,False,True,,,,,,665280,,,,"beta^-, SF",,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0020,20,241Fm,,Fm,241,100,141,False,False,8.86,,0.32,True,False,True,,0.00521428571429,0.000428571428571,0.000428571428571,>,0.00073,14,78,0.000935897435897,"alpha, EC, SF",,,0.00521428571429,True,Qalpha;Jpi,True,ok,1,1,False,0
source-row-0021,21,242Fm,,Fm,242,100,142,True,False,8.7,,0.5,True,False,True,,,,,,0.0008,,100,0.0008,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0022,22,243Fm,,Fm,243,100,143,False,False,8.69,,0.05,False,True,False,,0.253846153846,0.00989010989011,0.00989010989011,,0.231,91,9,2.56666666667,"alpha, EC, SF",,,0.253846153846,True,,True,ok,1,1,False,0
source-row-0023,23,244Fm,,Fm,244,100,144,False,False,8.55,,0.2,True,False,True,,0.321,0.008,0.008,>,0.00321,1,97,0.00330927835052,"alpha, EC, SF",,,0.321,True,Qalpha,True,ok,1,1,False,0
source-row-0024,24,245Fm,,Fm,245,100,145,False,False,8.373,,0.025,False,True,False,,5.4,0.6,0.6,,5.4,100,0.3,1800,"alpha, EC, SF",,,5.4,True,,True,ok,1,1,False,0
source-row-0025,25,246Fm,,Fm,246,100,146,False,False,8.379,,0.005,False,True,False,,1.6452991453,0.042735042735,0.042735042735,,1.54,93.6,6.4,24.0625,"alpha, SF, EC",,,1.6452991453,True,,True,ok,1,1,False,0
source-row-0026,26,247Fm,,Fm,247,100,147,False,False,8.258,,0.01,False,True,False,,48.4375,1.5625,1.5625,,31,64,,,"alpha, EC",,,48.4375,True,,True,ok,1,1,False,0
source-row-0027,27,248Fm,,Fm,248,100,148,False,False,7.995,,0.008,False,True,False,,34.8484848485,1.21212121212,1.21212121212,approx,34.5,99,0.1,34500,"alpha, EC, SF",,,34.8484848485,True,,True,ok,1,1,False,0
source-row-0028,28,249Fm,,Fm,249,100,149,False,False,7.709,,0.006,False,True,False,,615.384615385,38.4615384615,38.4615384615,,96,15.6,,,"alpha, EC",,,615.384615385,True,,True,ok,1,1,False,0
source-row-0029,29,250Fm,,Fm,250,100,150,False,False,7.557,,0.008,False,True,False,,1860,66,66,,1860,100,0.0069,26956521.7391,"alpha, EC, SF",,,1860,True,,True,ok,1,1,False,0
source-row-0030,30,251Fm,,Fm,251,100,151,False,False,7.4245,,0.001,False,True,False,,1060000,16000,16000,,19080,1.8,,,"alpha, EC",,,1060000,True,,True,ok,1,1,False,0
source-row-0031,31,252Fm,,Fm,252,100,152,False,False,7.1527,,0.002,False,True,False,,91368,432,432,,91368,100,0.0023,3972521739.13,"alpha, SF; beta^-, SF",,,91368,True,,True,ok,1,1,False,0
source-row-0032,32,253Fm,,Fm,253,100,153,False,False,7.1979,,0.001,False,True,False,,2160000,86400,86400,,259200,12,,,"alpha, EC",,,2160000,True,,True,ok,1,1,False,0
source-row-0033,33,254Fm,,Fm,254,100,154,False,False,7.3073,,0.001,False,True,False,,11671.0026016,7.20432259356,7.20432259356,,11664,99.94,0.06,19440000,"alpha, SF; beta^-, SF",,,11671.0026016,True,,True,ok,1,1,False,0
source-row-0034,34,255Fm,,Fm,255,100,155,False,False,7.2406,,0.0005,False,True,False,,97452,252,252,,97452,100,2.4e-05,406050000000,"alpha, SF",,,97452,True,,True,ok,1,1,False,0
source-row-0035,35,256Fm,,Fm,256,100,156,False,False,7.0253,,0.0019,False,True,False,,116370.37037,4400.72058885,4400.72058885,,9426,8.1,91.9,10256.8008705,"SF, alpha",,,116370.37037,True,,True,ok,1,1,False,0
source-row-0036,36,257Fm,,Fm,257,100,157,False,False,6.8637,,0.0009,False,True,False,,8701473.0935,17316.3643652,17316.3643652,,8683200,99.79,0.21,4134857142.86,"alpha , SF",,,8701473.0935,True,,True,ok,1,1,False,0
source-row-0037,37,258Fm,,Fm,258,100,158,False,False,6.66,,0.2,True,False,True,,,,,,0.00037,,100,0.00037,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0038,38,259Fm,,Fm,259,100,159,False,False,6.47,,0.2,True,False,True,,,,,,1.5,,100,1.5,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0039,39,244Md,,Md,244,101,143,False,False,8.95,,0.08,False,True,False,,0.3,0.19,0.09,approx,0.3,100,,,"alpha, EC",,,0.3,True,Jpi,True,ok,1,1,False,0
source-row-0040,40,245Md,,Md,245,101,144,False,False,9.01,,0.012,False,True,False,,,,,,0.33,,,,"alpha, SF",,,,,,False,missing_T_alpha_half_s,1,1,False,0
source-row-0041,41,247Md,,Md,247,101,146,False,False,8.764,,0.01,False,True,False,,1.21040952189,0.121040952189,0.121040952189,,1.2,99.14,0.86,139.534883721,"alpha, SF",,,1.21040952189,True,,True,ok,1,1,False,0
source-row-0042,42,248Md,,Md,248,101,147,False,False,8.5,,0.03,False,True,False,,35,15,15,,7,20,,,"alpha, EC",,,35,True,,True,ok,1,1,False,0
source-row-0043,43,249Md,,Md,249,101,148,False,False,8.441,,0.018,True,False,True,,34.1333333333,1.2,1.2,,25.6,75,,,"alpha, EC",,,34.1333333333,True,Qalpha,True,ok,1,1,False,0
source-row-0044,44,250Md,,Md,250,101,149,False,False,8.155,,0.028,False,True,False,,762.857142857,64.2857142857,64.2857142857,,53.4,7,,,"alpha, EC",,,762.857142857,True,Jpi,True,ok,1,1,False,0
source-row-0045,45,251Md,,Md,251,101,150,False,False,7.963,,0.004,False,True,False,,2526,138,138,>,252.6,10,,,"alpha, EC",,,2526,True,,True,ok,1,1,False,0
source-row-0046,46,252Md,,Md,252,101,151,False,False,7.74,,0.11,True,False,True,,,,,,138,,,,EC,,,,,Qalpha;Jpi,False,missing_T_alpha_half_s,1,1,False,0
source-row-0047,47,253Md,,Md,253,101,152,False,False,7.573,,0.008,False,True,False,,51428.5714286,102857.142857,25714.2857143,approx,360,0.7,,,"alpha, EC",,,51428.5714286,True,,True,ok,1,1,False,0
source-row-0048,48,254Md,,Md,254,101,153,False,False,7.8,,0.14,True,False,True,,,,,,600,,,,EC,,,,,Qalpha;Jpi,False,missing_T_alpha_half_s,1,1,False,0
source-row-0049,49,255Md,,Md,255,101,154,False,False,7.9056,,0.0017,False,True,False,,23142.8571429,1714.28571429,1714.28571429,,1620,7,,,"alpha, EC",,,23142.8571429,True,,True,ok,1,1,False,0
source-row-0050,50,256Md,,Md,256,101,155,False,False,7.74,,0.11,True,False,True,,50673.9130435,978.260869565,978.260869565,,4662,9.2,3,155400,"alpha, EC, SF",,,50673.9130435,True,Qalpha,True,ok,1,1,False,0
source-row-0051,51,257Md,,Md,257,101,156,False,False,7.5571,,0.0009,False,True,False,,132480,1200,1200,,19872,15,1,1987200,"alpha, EC, SF",,,132480,True,,True,ok,1,1,False,0
source-row-0052,52,258Md,,Md,258,101,157,False,False,7.2713,,0.0019,False,True,False,,4449600,25056,25056,,4449600,100,,,"alpha, EC",,,4449600,True,Jpi,True,ok,1,1,False,0
source-row-0053,53,259Md,,Md,259,101,158,False,False,7.05,,0.1,True,False,True,,445846.153846,16615.3846154,16615.3846154,>,5796,1.3,100,5796,"alpha, SF",,,445846.153846,True,Qalpha;Jpi,True,ok,1,1,False,0
source-row-0054,54,260Md,,Md,260,101,159,False,False,6.94,,0.3,True,False,True,,54950400,864000,864000,>,2747520,5,100,2747520,"alpha, EC, beta^-, SF",,,54950400,True,Qalpha,True,ok,1,1,False,0
source-row-0055,55,249No,,No,249,102,147,False,False,9.276,,0.02,False,True,False,,0.0381,0.0025,0.0025,,0.0381,100,,,alpha,,,0.0381,True,Jpi,True,ok,1,1,False,0
source-row-0056,56,250No,,No,250,102,148,False,False,8.95,,0.2,True,False,True,,0.00023,1e-05,1e-05,>,4.6e-06,2,100,4.6e-06,"alpha, SF",,,0.00023,True,Qalpha,True,ok,1,1,False,0
source-row-0057,57,251No,,No,251,102,149,False,False,8.752,,0.004,False,True,False,,0.888888888889,0.111111111111,0.111111111111,,0.8,90,0.0014,57142.8571429,"alpha, EC, SF",,,0.888888888889,True,,True,ok,1,1,False,0
source-row-0058,58,252No,,No,252,102,150,False,False,8.549,,0.005,False,True,False,,3.64940828402,0.0236686390533,0.0236686390533,,2.467,67.6,31,7.95806451613,"alpha, EC, SF",,,3.64940828402,True,,True,ok,1,1,False,0
source-row-0059,59,253No,,No,253,102,151,False,False,8.415,,0.004,False,True,False,,171.272727273,2.18181818182,2.18181818182,,94.2,55,,,"alpha, EC",,,171.272727273,True,,True,ok,1,1,False,0
source-row-0060,60,254No,,No,254,102,152,False,False,8.226,,0.008,False,True,False,,56.8888888889,0.444444444444,0.444444444444,,51.2,90,0.17,30117.6470588,"alpha, EC, SF",,,56.8888888889,True,,True,ok,1,1,False,0
source-row-0061,61,255No,,No,255,102,153,False,False,8.4282,,0.003,False,True,False,,704,36,36,,211.2,30,,,"alpha, EC",,,704,True,,True,ok,1,1,False,0
source-row-0062,62,256No,,No,256,102,154,False,False,8.582,,0.005,False,True,False,,2.92609351433,0.0502765208648,0.0502765208648,,2.91,99.45,0.55,529.090909091,"alpha, SF",,,2.92609351433,True,,True,ok,1,1,False,0
source-row-0063,63,257No,,No,257,102,155,False,False,8.477,,0.006,False,True,False,,28.8235294118,0.588235294118,0.588235294118,,24.5,85,1.5,1633.33333333,"alpha, EC, SF",,,28.8235294118,True,,True,ok,1,1,False,0
source-row-0064,64,258No,,No,258,102,156,False,False,8.15,,0.1,True,False,True,,,,,,0.00123,,100,0.00123,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0065,65,259No,,No,259,102,157,False,False,7.854,,0.005,False,True,False,,4640,400,400,,3480,75,10,34800,"alpha, EC, SF",,,4640,True,,True,ok,1,1,False,0
source-row-0066,66,260No,,No,260,102,158,False,False,7.7,,0.2,True,False,True,,,,,,0.106,,100,0.106,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0067,67,262No,,No,262,102,160,False,False,7.25,,0.3,True,False,True,,,,,,0.005,,100,0.005,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0068,68,251Lr,,Lr,251,103,148,False,False,9.438,,0.019,False,True,False,,0.0244,0.007,0.0045,,0.0244,100,,,alpha,,,0.0244,True,,True,ok,1,1,False,0
source-row-0069,69,252Lr,,Lr,252,103,149,False,False,9.164,,0.017,False,True,False,,0.585714285714,0.1,0.0714285714286,approx,0.41,70,10,4.1,"alpha, EC, SF",,,0.585714285714,True,,True,ok,1,1,False,0
source-row-0070,70,253Lr,,Lr,253,103,150,False,False,8.918,,0.02,False,True,False,,0.638383838384,0.0464646464646,0.0464646464646,,0.632,99,1,63.2,"alpha, EC, SF",,,0.638383838384,True,,True,ok,1,1,False,0
source-row-0071,71,254Lr,,Lr,254,103,151,False,False,8.822,,0.008,False,True,False,,16.7364016736,1.25523012552,1.25523012552,,12,71.7,0.1,12000,"alpha, EC, SF",,,16.7364016736,True,Jpi,True,ok,1,1,False,0
source-row-0072,72,255Lr,,Lr,255,103,152,False,False,8.556,,0.007,False,True,False,,31.1935807422,1.10330992979,1.10330992979,,31.1,99.7,0.1,31100,"alpha, EC, SF",,,31.1935807422,True,,True,ok,1,1,False,0
